0 : (500, 611) 443 1
1 : (502, 610) 442 1
2 : (504, 611) 443 1
3 : (506, 611) 444 1
4 : (508, 611) 444 1
5 : (510, 611) 445 1
6 : (512, 610) 444 1
7 : (514, 611) 446 1
8 : (516, 610) 446 1
9 : (518, 611) 448 1
10 : (519, 611) 449 1
11 : (521, 610) 450 1
12 : (523, 611) 452 1
13 : (525, 610) 453 1
14 : (528, 610) 455 1
15 : (530, 610) 457 1
16 : (532, 610) 459 1
17 : (534, 610) 461 1
18 : (536, 610) 463 1
19 : (538, 610) 466 1
20 : (540, 610) 469 1
21 : (542, 610) 472 1
22 : (544, 610) 474 1
23 : (547, 610) 479 1
24 : (549, 610) 481 1
25 : (551, 610) 485 1
26 : (554, 610) 490 1
27 : (556, 610) 493 1
28 : (558, 610) 497 1
29 : (561, 610) 501 1
30 : (563, 609) 505 1
31 : (566, 610) 511 1
32 : (568, 609) 516 1
33 : (571, 609) 521 1
34 : (574, 609) 528 1
35 : (576, 609) 533 1
36 : (579, 609) 541 1
37 : (582, 609) 546 1
38 : (585, 609) 553 1
39 : (588, 609) 561 1
40 : (591, 609) 567 1
41 : (594, 608) 575 1
42 : (598, 608) 584 1
43 : (602, 610) 599 1
44 : (605, 608) 603 1
45 : (610, 610) 621 1
46 : (614, 610) 634 1
47 : (618, 610) 646 1
48 : (622, 610) 658 1
49 : (626, 610) 669 1
50 : (631, 610) 685 1
51 : (636, 610) 700 1
52 : (641, 610) 714 1
53 : (646, 610) 732 1
54 : (651, 610) 749 1
55 : (657, 610) 768 1
56 : (663, 610) 785 1
57 : (669, 610) 806 1
58 : (676, 610) 828 1
59 : (683, 610) 855 1
60 : (690, 610) 878 1
61 : (698, 610) 905 1
62 : (704, 608) 922 1
63 : (715, 609) 963 1
64 : (723, 609) 992 1
65 : (742, 613) 1069 1
66 : (754, 613) 1111 1
67 : (765, 613) 1153 1
68 : (778, 612) 1200 1
69 : (796, 614) 1269 1
70 : (809, 613) 1317 1
71 : (823, 611) 1368 1
72 : (844, 612) 1447 1
73 : (871, 613) 1551 1
74 : (888, 611) 1615 1
75 : (913, 611) 1712 1
76 : (946, 611) 1840 1
77 : (973, 609) 1941 1
82 : (660, 523) 647 2
83 : (660, 520) 645 2
84 : (661, 517) 647 2
85 : (660, 514) 643 2
86 : (660, 511) 642 2
87 : (661, 508) 644 2
88 : (661, 506) 643 2
89 : (661, 503) 644 2
90 : (661, 500) 644 2
91 : (661, 497) 644 2
92 : (661, 494) 646 2
93 : (662, 492) 647 2
94 : (665, 488) 660 2
95 : (662, 486) 650 2
96 : (662, 483) 651 2
97 : (662, 480) 653 2
98 : (662, 477) 656 2
99 : (663, 474) 659 2
100 : (663, 471) 661 2
101 : (663, 468) 664 2
102 : (663, 465) 668 2
103 : (663, 462) 670 2
104 : (665, 459) 681 2
117 : (612, 443) 503 3
